name	prefix	url	branch	revision	tag	imported
artifact-keeper	artifact-keeper	https://github.com/artifact-keeper/artifact-keeper.git	main	13b28fc7049a634efcae99884d761641151ef538	v1.7.0	2026-08-01
artifact-keeper-web	artifact-keeper-web	https://github.com/artifact-keeper/artifact-keeper-web.git	main	e86b5ff4f990a15150e5585c21d0b0345fa54ec3	v1.6.0	2026-08-01
artifact-keeper-iac	artifact-keeper-iac	https://github.com/artifact-keeper/artifact-keeper-iac.git	main	6339c005d9a732576f975be07cf39f02ee6135ef	artifact-keeper-1.9.4	2026-08-01
